videoId,top_positive,top_negative,top_neutral
JSb4_FxDciY,We still love Shein though there clothes are very cute,I tried ordering from shein before and I’ll never do again the quality is below the standard,I buy from SHEIN every week idk what y’all are on nothing is wrong it’s either they’d I’d it themself or something
JSb4_FxDciY,"Love shein, good quality and affordable",I thought is was because shein was stealing designs but this is worse,Or maybe it's just a publicity stunt to bring down shein
JSb4_FxDciY,My girl will buy like 20 outfits from this site for under $100 lol Im amazed at the priced Shein sells they stuff for. I wish it was as cheap for men.,Shein is the worst…. Who doesn’t know this by now?,I forgot about shein 
JSb4_FxDciY,I honestly don’t care shein products are good and I don’t buy from other brands I just love shein and I don’t care what happens behind,"theres even worst things about shein like stealing designs, toxic products, and even bugs in the packaging. IMO its the worst fashion brand to exist",People arguing that other companies do this don't realize the sheer scale that Shein is doing this
JSb4_FxDciY,"Nah I'm still buying from SheIn lol, their clothes are good quality so idrc how they make them",Is that why I ordered a clip from shein and it literally is so bad when I took it out of the package it was so loose and was about to break and I can’t even wear it it’s a waste of money!,"the printed tags are just a mistranslation, the sweat shop workers making the clothes aren't the ones printing them. they're probably designed by someone who gets payed a decent wage then printed out en masse and just sewn on by the workers. obviously this doesn't explain the handwritten notes but also worth mentioning, how would shein employees in china be able to write not only in english, but in perfect natural-looking cursive?? not saying they don't need help, but i really doubt that's real"
JSb4_FxDciY,Lol literally every company uses swear shops! iPhones?? Give me a break. They’re just mad people are getting the same looks for more than half the cost. And alot of my shein clothes are great quality and I never had any messages like these on my tags. Ever.,"Sorry I’m not cancelling shein . I feel bad but I’m not canceling fashion Nova  either. Temu etc. , I am a huge Internet shopper. Who knows what else is going on behind the scenes of 1 billion companies we shop from . I’m sure  even the narrator of this post  is probably wearing a shein  shirt right now. Hush.","yeah but who buys clothes from shein, real talk for a sec ago, i didnt know what shein is."
JSb4_FxDciY,awww such hard working kids I'm going to buy some more clothes from shein to support them,SHEIN is the worst and most blatant. Y’all on crack,I just bought from SHEIN yesterday and I had no idea that they were doing that
JSb4_FxDciY,shein only? lol why do you think major companies have factories is Asia???,"While I was watching it my shein package arrived, I didn't like the things I bought! I will stop buying there",I thought they were talking about the Shein from Jimmy Neutron
JSb4_FxDciY,I love shein and will continue to keep shopping there. There clothes are affordable. The country needs to handle their own problems,"I hate shein because of its degenerate apparel, but global warming is a blatant lie. It’s as real as evolution.",Bro it's literally everything every brand does that I don't know why they are only calling out shein like every brand does it its not just shein
JSb4_FxDciY,"I’m about to look at the labels of everything my kids ever bought from Shein lol. This is wild though…$1.25??? Is that daily, weekly, or what?",Wtf... The only thing i knew about Shein is that they copy outfit from other brands.  This is messed up,"My mom works at Amazon and she says the work conditions are bad. I doubt it's as bad as this but still, why call out just Shein?"
lHNiD7lJo48,"Thank you for your video. Shein bigger than Amazon?! Whatt?? That genuinely bothers me. Love your videos and content!! ""SHEIN HUNNY 
...WHAT ARE YOU DOING?"" ",That makes me sad because i get nearly everything from shein so I’m sorry I’m on sheins side sorry ,Guys before the vid I literally SHEIN idk
