videoId,top_positive,top_negative,top_neutral
JSb4_FxDciY,"I’m so sorry idk if ima get hate for this,  but I shop at Shein but I’m against Temu. I just think Temu is sketchy af and I have heard some shady stuff about it. I’m not against Shein because Shein has a lot of good products that are cute and cheap. Same with Temu but I trust Shein and not Temu. And I love how many coupons there are, I had 39 dollars and I gave it to my mom and she put that in her bank account and she purchased everything but obviously there are taxes so it turned out to be 44 dollars and I panicked cuz I didn’t want to take anything out of my Shein cart but thankfully more than 44$ dollars turned into 40$ dollars and my mom payed for the extra dollar and cents but I’m so glad there was a coupon to save me. It was a 30% coupon and I still have another one for next time I shop! Also, Shein quality is pretty good depending on what you’re purchasing. Also I had free shipping! Since every-time I buy stuff off Shein I buy a lot so it always gives me free shipping  Anyways please no hate if y’all can just reply to this comment with some advice of cheap online stores that have great products with great deals","Every big company does this kind of things, this isn’t a new thing and it’s not just shein, might as well boycott everything from Nike to nestle at this point","Ok but inflation so imma still use Shein Sorry but ain't nothing I can do about it. Besides, lots of companies do the same thing."
JSb4_FxDciY,"If people (who buy from shein all the time) are actually concerned just now: did it really needed that ""I need help"" stitched into the label? I mean that in a way where for me this topic was well known! I knew and boycotted ever since. I can't support this. I know many don't have the money to buy more expansive clothes - i mean more 
expansive than shein and not actually expansive stuff like IDK Chanel or even addidas (in germqny its called ""markenkleidung"" translated to  ""branded clothing"" but that doesn't Sound right for what I want to say so IDK) 
- and o understand here a bit. But people that do have money, why do you support this?? 

By the way Brands like h&m or Adidas Aren't that better than cheap brands like shein, for the environment and are still fast fashion. 

There are slow fashion companies, they are more expensive but i personally can't buy a lot of clothes from somewhere like extremely fast fashion like shein with good conscience. I can't afford slow fashion with all the Products I buy but two things: 1. You don't need that many clothes - fast fashion wants you to buy all the time but first you don't need em ans 2: the children working in places like this (and thats a lot the case in india, bangladesh and others tooo), the environment and hopefully your understanding and empathy will thank you for not supporting this. 

Ps: just look into fast fashion documentarys its shooking and 
Eye opening 


Edit: also there is this app called ""goodonyou"" with many ethical brands which you can search according to how much you wanna spend and it ranks a lot of famous brands like (h&m and others) based on how good ethical and for the nature they are. it was really eye opening for mw that's why I talk about it here",Bro shein is already banned in Morocco lol,"Honestly Shein is not cheap. Their materials suck and are cheap and the only reason why people continue to buy from them is because of the ""Afterpay"" I can buy thick 100%cotton here at my local Gap or Old Navy clothing for cheaper than Shein."
JSb4_FxDciY,"I will always preach this buy second hand from thrift stores or from brands who swear by fair trade practices. If youre good at thrifting you will find awesome pieces that nobody else has. Lots of brands thst sell fair trade products may be more expensive but those clothes will last years rather than less than a year from brands like Zara, H&M, and Shein. I had a pair of H&M jeans and they were terrible and blew out only after a few months. In contrast Ive had this flannel that Ive owned for 5 years and its still great with no holes or anything. I also have this awesome cotton shirt from tentree. It was $24 but it was totally worth it. Great brands I can recommend are pact, tentree, and patagonia.",Don't cancel shein please,me: i’m broke shein is cute but erong
JSb4_FxDciY,"I know times are tough financially. It’s hard sometimes to get new nice clothes, and SHEIN is affordable. But That’s why it’s important to ask your older relatives for hand me downs and visit the thrift store (: 
I grew up with a single mother, low income. I’m lucky to have older female cousins because everything they outgrow(excluding underwear) I get from them (: I’m 23 and I still do it though I have my own full time job. I mean if they’re cute, nice condition and fit, yea I’ll take it!",Sorry... I'm still buying from shein hun,The sad thing is some of us can only afford shein or second hand clothing.
JSb4_FxDciY,"I don't understand why people don't just buy second hand at charity shops/thrift stores. I literally have found amazing pieces of clothing for as little as £1, and the money goes to charity. Today my mum found a beautiful long coat in brand new condition for £3 at a car boot sale (I think they're called flea markets in the USA). Why buy super cheap shein stuff that's filled with lead and doesn't last long, when you can buy cheap good quality second hand stuff? People just want excuses to keep up with tiktok trends and buy £100s worth of stuff at a time. The shein haul tiktokkers are not buying stuff they desperately need.",Shein careless when it comes securing your credit card data from being hacked,this is why i don’t buy things from shien. i bought like 3 items from that company and the shirt i bought ripped almost immediately. i told my sis (who is 6 years older than me) and she said shein is a really brand that does child labor and there clothing is not good material. i’ve never bought a thing from there since
JSb4_FxDciY,"If that is the case with child labor in 3rd world countries and the products are VERY affordable. I recommend that someone who knows somebody from those countries find a trustworthy designated person to give a portion of donated money to each child in those factories (locations) where they are producing products for Shein. It would help those kids help their parents to eat a little better and have a little more basic necessities. It is because poverty and sick parents or parents that can barely manage a descent income to cover food and shelter costs. Do some homework, find someone trustworthy and reliable who can help. Send caring thoughts to the children, it wouldn’t be the company you would donate to, it be the children through a reliable source (sort of like a Guardian Angel). ",Dan I didn’t know this and I shop with shein sorry shein can’t do that anymore,"Soo..  someone didn't like how much shein is getting out of the market share, so they're starting a defamation campaign."
JSb4_FxDciY,I honestly don’t care shein products are good and I don’t buy from other brands I just love shein and I don’t care what happens behind,Imma still buy shein I’m sorry,My family having shein our whole life and never see this!
JSb4_FxDciY,Dude. This is old news. People shop from shein because every other good store is way too expensive for most families. I can buy a ton of clothes for the same price as one Lululemon align tank. I can buy 3+ full outfits and accessories for one align tank. Even Amazon is getting expensive. And thrift stores like goodwill are even getting pricey. Shein has good quality (ish lol ig as good quality as you can get for the price) clothes and is affordable to buy.  I had to restock my whole closet because I grew out of everything and shein made this so affordable for me. You can’t cancel a company for providing under privileged people with jobs.,Sorry I’m still buying from shein.,What about Temu and other cheap $1-2 items why just say Shein ??
JSb4_FxDciY,"Me sitting here, but I love shein: 





And nothing will stop me from loving it, all these rumours may not even be real about it","It’s not just Shein that does this 
I’m not saying it’s okay, but Shein’s clothes are really cheap and people buy it for that reason because they might not have the money to buy expensive clothes.",Why I’ve never ordered from shein or (now) temu
JSb4_FxDciY,I remember a while back I wanted to buy from shein but my mom told me not to I complained to her because it was hard to find places with clothes with pretty designs like sheins little did I know the truth but either way I’m glad I was stopped,"Shein does need to pay their employees more, but they should Not be shut down..Yes, it's a low wage, but it's still a Wage..Most of the ppl in 3rd world countries wouldn't even have a job if it weren't for companies like them..Shein doesn't need to be shut down, it needs to be improved, wage-wise..","Still gonna buy off SHEIN, need clothes my g."
